Name,URL,Remote Testing,Adaptive/IRT,Test Types,Job Level,Completion Time,Languages,Description,context
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 38,"English (USA),","The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships;
and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Sales Manager and Sales Supervisor. Multiple configurations of this solution are available.","passage: Sales Supervisor Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 38 | Languages: English (USA), | Description: The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships;
and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Sales Manager and Sales Supervisor. Multiple configurations of this solution are available."
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 43,"English (USA),","The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include, but are not limited to: implementing customer orders, assisting with and coordinating activities, and utilizing processes to meet customer requirements. Potential job titles that use
this solution are: Implementation Specialist, Project Assistant, and Sales Support Assistant. Multiple configurations of this solution are available.","passage: Sales Support Specialist Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 43 | Languages: English (USA), | Description: The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include, but are not limited to: implementing customer orders, assisting with and coordinating activities, and utilizing processes to meet customer requirements. Potential job titles that use
this solution are: Implementation Specialist, Project Assistant, and Sales Support Assistant. Multiple configurations of this solution are available."
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Professional Individual Contributor,",Approximate Completion Time in minutes = 44,"English (USA),","The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Senior Sales Professional, Senior Producer, Insurance Sales Agent, and Insurance Agent. Multiple configurations of this solution are available.","passage: Senior Insurance Agent Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 44 | Languages: English (USA), | Description: The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Senior Sales Professional, Senior Producer, Insurance Sales Agent, and Insurance Agent. Multiple configurations of this solution are available."
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Professional Individual Contributor,",Approximate Completion Time in minutes = 42,"English (USA),","The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, consulting with and persuading customers to buy products, and building
ongoing customer relationships. Potential job titles that use this solution are: Senior Sales Representative, Business Development Manager, and Senior Sales Consultant. Multiple configurations of this solution are available.","passage: Senior Sales Professional Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 42 | Languages: English (USA), | Description: The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, consulting with and persuading customers to buy products, and building
ongoing customer relationships. Potential job titles that use this solution are: Senior Sales Representative, Business Development Manager, and Senior Sales Consultant. Multiple configurations of this solution are available."
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Ability and aptitude, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 40,"English (USA),","The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales. Potential job titles that use this solution are: Server and Waiter/Waitress. Multiple configurations of this solution are available.","passage: Server Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Ability and aptitude, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 40 | Languages: English (USA), | Description: The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales. Potential job titles that use this solution are: Server and Waiter/Waitress. Multiple configurations of this solution are available."
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 38,"English (USA),","The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms. Potential job titles that use this solution are: Housekeeper, Buffet Server, Room Service Attendant, and Valet. Multiple configurations of this solution are available.","passage: Service Associate Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 38 | Languages: English (USA), | Description: The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms. Potential job titles that use this solution are: Housekeeper, Buffet Server, Room Service Attendant, and Valet. Multiple configurations of this solution are available."
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 48,"English (USA),","The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. Front Desk Associate, Concierge, Guest Service Associate). Individuals in these roles perform many of hte duties of the employees they supervise. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Front Desk Manager, Guest Services Supervisor, and Front Desk Supervisor. Multiple configurations of this solution are available.","passage: Service Supervisor Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 48 | Languages: English (USA), | Description: The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. Front Desk Associate, Concierge, Guest Service Associate). Individuals in these roles perform many of hte duties of the employees they supervise. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Front Desk Manager, Guest Services Supervisor, and Front Desk Supervisor. Multiple configurations of this solution are available."
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 25,"English (USA),","The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked.  Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments.  Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate. Multiple configurations of this solution are available.","passage: Stock Clerk Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 25 | Languages: English (USA), | Description: The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked.  Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments.  Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate. Multiple configurations of this solution are available."
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies","Front Line Manager, Manager,",Approximate Completion Time in minutes = 34,"English (USA), English International, French (Canada), Latin American Spanish,","Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Latin American Spanish.","passage: Store Manager 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies | Job Level: Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 34 | Languages: English (USA), English International, French (Canada), Latin American Spanish, | Description: Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Latin American Spanish."
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies","Front Line Manager, Manager,",Approximate Completion Time in minutes = 34,"English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada),","Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","passage: Store Manager 7.1 (Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies | Job Level: Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 34 | Languages: English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada), | Description: Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others."
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,Yes Remote Testing,No IRT,"Competencies, Biodata and situational Judgement","Front Line Manager, Manager,",Approximate Completion Time in minutes = 34,"Latin American Spanish, English International,","Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","passage: Store Manager 7.1 (International) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Competencies, Biodata and situational Judgement | Job Level: Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 34 | Languages: Latin American Spanish, English International, | Description: Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others."
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Manager, Supervisor,",Approximate Completion Time in minutes = 49,"English (USA),","The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Store Manager, First Line Supervisor, Retail Manager, Restaurant Manager, and Customer Service Supervisor. Multiple configuration options of this solution are available.","passage: Store Manager Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 49 | Languages: English (USA), | Description: The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Store Manager, First Line Supervisor, Retail Manager, Restaurant Manager, and Customer Service Supervisor. Multiple configuration options of this solution are available."
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,Yes Remote Testing,Yes IRT,Simulations,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 57,"English (USA),","The Supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Call Center Supervisor, and Customer Service Supervisor.","passage: Supervisor - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Simulations | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 57 | Languages: English (USA), | Description: The Supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Call Center Supervisor, and Customer Service Supervisor."
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies","Supervisor,",Approximate Completion Time in minutes = 32,"English International, English (USA), French (Canada), Latin American Spanish,","Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Latin American Spanish.","passage: Supervisor 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies | Job Level: Supervisor, | Completion Time: Approximate Completion Time in minutes = 32 | Languages: English International, English (USA), French (Canada), Latin American Spanish, | Description: Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Latin American Spanish."
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","Front Line Manager, Supervisor,",Approximate Completion Time in minutes = 29,"Portuguese (Brazil), French (Canada), English (USA),","Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese.
 “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","passage: Supervisor 7.1 (Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Front Line Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 29 | Languages: Portuguese (Brazil), French (Canada), English (USA), | Description: Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese.
 “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas""."
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,Yes Remote Testing,No IRT,"Personalities and behavior, Competencies, Biodata and situational Judgement","Supervisor, Front Line Manager,",Approximate Completion Time in minutes = 29,"Italian, Norwegian, Spanish, English (USA), French, German, Dutch, Swedish, Portuguese, English International,","Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English International, German, Portuguese, Spanish, Norwegian, Swedish, Dutch, French, English (USA)
 “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","passage: Supervisor 7.1 (International) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Personalities and behavior, Competencies, Biodata and situational Judgement | Job Level: Supervisor, Front Line Manager, | Completion Time: Approximate Completion Time in minutes = 29 | Languages: Italian, Norwegian, Spanish, English (USA), French, German, Dutch, Swedish, Portuguese, English International, | Description: Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English International, German, Portuguese, Spanish, Norwegian, Swedish, Dutch, French, English (USA)
 “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas""."
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 38,"English (USA),","The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. Potential job titles that use this solutin are: Janitor, Food Prep, Laundry Associate and Dishwasher. Multiple configurations of this solution are available.","passage: Support Associate Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 38 | Languages: English (USA), | Description: The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. Potential job titles that use this solutin are: Janitor, Food Prep, Laundry Associate and Dishwasher. Multiple configurations of this solution are available."
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Personalities and behavior, Simulations, Biodata and situational Judgement","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 39,"English (USA),","The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. Janitors, Laundry Workers, Grounds Crew). Individuals in these roles may perform many of the duties of the employees they supervise. Sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Head Custodian, Maintenance Supervisor, Buildings and Grounds Supervisor, Facilities Manager, Housekeeping Supervisor, Building and Grounds Director and Housekeepig Director. Multiple configurations of this solution are available.","passage: Support Supervisor Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Personalities and behavior, Simulations, Biodata and situational Judgement | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 39 | Languages: English (USA), | Description: The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. Janitors, Laundry Workers, Grounds Crew). Individuals in these roles may perform many of the duties of the employees they supervise. Sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Head Custodian, Maintenance Supervisor, Buildings and Grounds Supervisor, Facilities Manager, Housekeeping Supervisor, Building and Grounds Director and Housekeepig Director. Multiple configurations of this solution are available."
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA),","The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue.  Sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.  Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.","passage: Technical Sales Associate Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 41 | Languages: English (USA), | Description: The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue.  Sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.  Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. Multiple configurations of this solution are available."
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Mid-Professional,",Approximate Completion Time in minutes = 52,"English (USA),","The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients.  Sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer.  Potential job titles that use this solutionare: Radiologic Technician, Medical Technologist/Technician, and Laboratory Technologist.  Multiple configurations of this solution are available.","passage: Technician/Technologist Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Mid-Professional, | Completion Time: Approximate Completion Time in minutes = 52 | Languages: English (USA), | Description: The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients.  Sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer.  Potential job titles that use this solutionare: Radiologic Technician, Medical Technologist/Technician, and Laboratory Technologist.  Multiple configurations of this solution are available."
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes Remote Testing,No IRT,"Competencies, Personalities and behavior","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 16,"German, Spanish, Latin American Spanish, French, Italian, Indonesian, Chinese Simplified, French (Canada), English International, English (USA),","The Technology Job Focused Assessment assesses  key behavioral attributes  required for success in fast-paced, rapidly evolving  technology environments , providing an indication of the candidate’s longer term potential. 

It is available as part of SHL’s Technology Hiring Solution.","passage: Technology Professional 8.0 Job Focused Assessment | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Competencies, Personalities and behavior | Job Level: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 16 | Languages: German, Spanish, Latin American Spanish, French, Italian, Indonesian, Chinese Simplified, French (Canada), English International, English (USA), | Description: The Technology Job Focused Assessment assesses  key behavioral attributes  required for success in fast-paced, rapidly evolving  technology environments , providing an indication of the candidate’s longer term potential. 

It is available as part of SHL’s Technology Hiring Solution."
